"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""3430302208""","=""nelly._.2000""","=""18123436402378901""","=""@htzutzul @zyunn__ @yuuuuchieh""","=""https://www.instagram.com/nelly._.2000""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/325401371_862720434877173_1914278406124348381_n.jpg""","=""10/16/2024, 2:21:53 AM"""
"=""8145211366""","=""u_zhen1113""","=""18460578727047771""","=""@yu_han_1113 @00q.setsuna @mou.___.0202""","=""https://www.instagram.com/u_zhen1113""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/462951451_906524250875471_7190287669352144113_n.jpg""","=""10/16/2024, 3:11:41 AM"""
"=""1939783476""","=""ccchunzhen""","=""18298425181204573""","=""@ttt_dnten @ting_1222st @ling_1.2 集氣""","=""https://www.instagram.com/ccchunzhen""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/453283035_3720570074850769_4815145395654470978_n.jpg""","=""10/16/2024, 6:40:25 AM"""
"=""678623891""","=""sabrinapai1024""","=""18284009944212232""","=""@h_debbie0324 @jamie110566 @yc1712 集氣！""","=""https://www.instagram.com/sabrinapai1024""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/282196952_544846637015509_3043331479778009037_n.jpg""","=""10/16/2024, 7:12:18 AM"""
"=""324422746""","=""jamie110566""","=""18110589883423342""","=""@h_debbie0324 @yc1712 @sabrinapai1024 抽！""","=""https://www.instagram.com/jamie110566""","=""https://instagram.ftpe11-2.fna.fbcdn.net/v/t51.2885-19/102935172_2389203151382333_6078792255700611700_n.jpg""","=""10/16/2024, 8:15:40 AM"""
"=""3550067447""","=""cclemon_cry""","=""18059585062693534""","=""@ruian1115 @ke.0304._ @ixuanne 看展覽了😍""","=""https://www.instagram.com/cclemon_cry""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/463426867_1524674988412596_1662601052169266993_n.jpg""","=""10/16/2024, 8:29:41 AM"""
"=""46014756826""","=""pinshitsai""","=""18360642958115895""","=""@people.who.love.bl @su52.07 @zakkizakkiii 抽抽藝博""","=""https://www.instagram.com/pinshitsai""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/420140202_6841636955933940_4717585802453588441_n.jpg""","=""10/16/2024, 10:23:05 AM"""
"=""46014756826""","=""pinshitsai""","=""18001695713677117""","=""@weixianglu @ya.kikiyu @lan_1213.87 抽抽藝博""","=""https://www.instagram.com/pinshitsai""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/420140202_6841636955933940_4717585802453588441_n.jpg""","=""10/16/2024, 10:23:36 AM"""
"=""46014756826""","=""pinshitsai""","=""18055281274876342""","=""@@yuki_0514_oh @jcbhkujjojkl @sky310769 抽抽藝博""","=""https://www.instagram.com/pinshitsai""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/420140202_6841636955933940_4717585802453588441_n.jpg""","=""10/16/2024, 10:24:45 AM"""
"=""46014756826""","=""pinshitsai""","=""17849490981280935""","=""@geund___ @wowo.woooooo @bububble_ 抽抽藝博""","=""https://www.instagram.com/pinshitsai""","=""https://instagram.ftpe11-1.fna.fbcdn.net/v/t51.2885-19/420140202_6841636955933940_4717585802453588441_n.jpg""","=""10/16/2024, 10:25:43 AM"""
